# This file is generated by model.py
# refer: https://www.theiphonewiki.com/wiki/Models

i386:Simulator
x86_64:Simulator
iPad1,1:iPad
iPad2,1:iPad 2
iPad2,2:iPad 2
iPad2,3:iPad 2
iPad2,4:iPad 2
iPad3,1:iPad (3rd generation)
iPad3,2:iPad (3rd generation)
iPad3,3:iPad (3rd generation)
iPad3,4:iPad (4th generation)
iPad3,5:iPad (4th generation)
iPad3,6:iPad (4th generation)
iPad4,1:iPad Air
iPad4,2:iPad Air
iPad4,3:iPad Air
iPad5,3:iPad Air 2
iPad5,4:iPad Air 2
iPad6,7:iPad Pro (12.9-inch)
iPad6,8:iPad Pro (12.9-inch)
iPad6,3:iPad Pro (9.7-inch)
iPad6,4:iPad Pro (9.7-inch)
iPad6,11:iPad (5th generation)
iPad6,12:iPad (5th generation)
iPad7,1:iPad Pro (12.9-inch) (2nd generation)
iPad7,2:iPad Pro (12.9-inch) (2nd generation)
iPad7,3:iPad Pro (10.5-inch)
iPad7,4:iPad Pro (10.5-inch)
iPad7,5:iPad (6th generation)
iPad7,6:iPad (6th generation)
iPad8,1:iPad Pro (11-inch)
iPad8,2:iPad Pro (11-inch)
iPad8,3:iPad Pro (11-inch)
iPad8,4:iPad Pro (11-inch)
iPad8,3:iPad Pro (11-inch)
iPad8,4:iPad Pro (11-inch)
iPad8,3:iPad Pro (11-inch)
iPad8,4:iPad Pro (11-inch)
iPad8,5:iPad Pro (12.9-inch) (3rd generation)
iPad8,6:iPad Pro (12.9-inch) (3rd generation)
iPad8,7:iPad Pro (12.9-inch) (3rd generation)
iPad8,8:iPad Pro (12.9-inch) (3rd generation)
iPad8,7:iPad Pro (12.9-inch) (3rd generation)
iPad8,8:iPad Pro (12.9-inch) (3rd generation)
iPad8,7:iPad Pro (12.9-inch) (3rd generation)
iPad8,8:iPad Pro (12.9-inch) (3rd generation)
iPad11,3:iPad Air (3rd generation)
iPad11,4:iPad Air (3rd generation)
iPad2,5:iPad mini
iPad2,6:iPad mini
iPad2,7:iPad mini
iPad4,4:iPad mini 2
iPad4,5:iPad mini 2
iPad4,6:iPad mini 2
iPad4,7:iPad mini 3
iPad4,8:iPad mini 3
iPad4,9:iPad mini 3
iPad5,1:iPad mini 4
iPad5,2:iPad mini 4
iPad11,1:iPad mini (5th generation)
iPad11,2:iPad mini (5th generation)
iPhone1,1:iPhone
iPhone1,2:iPhone 3G
iPhone2,1:iPhone 3GS
iPhone3,1:iPhone 4
iPhone3,2:iPhone 4
iPhone3,3:iPhone 4
iPhone4,1:iPhone 4S
iPhone5,1:iPhone 5
iPhone5,2:iPhone 5
iPhone5,3:iPhone 5c
iPhone5,4:iPhone 5c
iPhone6,1:iPhone 5s
iPhone6,2:iPhone 5s
iPhone7,2:iPhone 6
iPhone7,1:iPhone 6 Plus
iPhone8,1:iPhone 6s
iPhone8,2:iPhone 6s Plus
iPhone8,4:iPhone SE
iPhone9,1:iPhone 7
iPhone9,3:iPhone 7
iPhone9,2:iPhone 7 Plus
iPhone9,4:iPhone 7 Plus
iPhone10,1:iPhone 8
iPhone10,4:iPhone 8
iPhone10,2:iPhone 8 Plus
iPhone10,5:iPhone 8 Plus
iPhone10,3:iPhone X
iPhone10,6:iPhone X
iPhone11,8:iPhone XR
iPhone11,2:iPhone XS
iPhone11,6:iPhone XS Max
